ID,CALLING_NUM,CALLED_NUMBER,START_TIME,END_TIME,CALL_TYPE,CHARGE,CALL_RESUL,call_to,is_fraud
9e5a6f4b-a018-4b10-9fdd-3a37c7f133b4,3863237546,980570174,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.49085754,ANSWERED,domestic,n
5fa9ca7e-ef70-43c0-aa31-b19c7e6f8eba,3003772083,5064298733,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.40635967,ANSWERED,international,n
c3b29a0b-8354-46d3-8e99-b236a0eb52d5,8792207050,6782021797,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.5348344,ANSWERED,domestic,n
2b446baf-fdd9-4a63-8ba3-3aa23278bc70,1945030245,273614418,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.66082704,ANSWERED,international,n
dc444f87-d1b5-433f-b739-8c3482c94de1,7005465013,3070220585,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.28444135,ANSWERED,international,n
fd8b4c11-87b5-4d27-9ed3-04bee35ef9d9,5290861677,2097005627,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.13360435,ANSWERED,international,n
04b3e83b-edbf-4bc0-8d14-0bf65a672159,2689744648,9413615188,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.36705214,ANSWERED,international,y
1f9f55a8-1b4b-4b28-9e83-4cf3c27c71e6,2817504805,3945575896,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.93125194,ANSWERED,domestic,n
df850964-dfd7-44c5-80c7-6400bc3f58bd,7615931747,5471126090,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.22748524,ANSWERED,international,n
043775f2-39c2-4c88-a2ac-6297c273ab83,539876732,2424901009,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.3759588,ANSWERED,international,n
a893a3c4-e1e9-4a97-9780-997ba9e951d9,5259203413,6712274352,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.1949079,ANSWERED,domestic,n
6a4e11e4-afe1-4da1-8750-3f548a9d7147,5309327039,9648194472,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.6494667,ANSWERED,domestic,n
b9a96007-caa8-4022-bbdf-37ed1c385481,2086569880,1397676375,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.77994335,ANSWERED,domestic,n
1b614c81-aa0a-494d-904b-91b1ccd8f75f,2454934925,9696756010,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.39204323,ANSWERED,international,n
ff51c7fb-48e6-4dc5-bd91-62352d07608b,2339563418,4229486404,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.6248307,ANSWERED,international,n
992ec330-28ee-4a2b-aed7-fdb2a7b6d271,5758087710,550453909,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.15678841,ANSWERED,domestic,n
3785aa77-5dff-43d8-be8a-69b40fe85e4e,2720995984,6688624826,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.50171614,BUSY,domestic,n
7c93d88b-549b-4059-bb3b-e798e96d840f,9203292001,3882365632,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.004108846,ANSWERED,domestic,n
89f5c75d-170c-4056-8d4e-6c72dd728018,3772584645,6955789493,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.3173859,ANSWERED,domestic,n
69308480-716e-48ad-addd-e8e612b949b7,9241496799,9695010582,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.40509063,ANSWERED,domestic,n
be4333fa-b6dc-4b7d-b7b5-30d4a14f806a,9952679227,7087248929,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.26179045,ANSWERED,domestic,n
99102812-fe69-4c2c-930d-c27616f62915,1350057252,2751071043,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.19128877,ANSWERED,international,y
ab3af127-7ca8-47a4-9169-9159309667d6,5275308835,1172602769,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.21469271,ANSWERED,domestic,n
a13c2ebb-f36e-4394-bf4d-71c9309d4186,4570538403,9198441955,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.70361996,ANSWERED,international,n
217f7d54-6372-4430-bd21-d4321a224b97,2193898757,5666756896,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.561812,ANSWERED,domestic,n
422aa5bd-0308-44ed-ba65-9abfa4751282,4264572099,702817413,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.18305779,ANSWERED,domestic,n
5824248c-3f86-4559-93e6-26aadc7ef6ad,768042041,8846793378,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.26717144,ANSWERED,domestic,n
011ead16-71ee-4340-9925-f2bd421be957,9203718392,8964351852,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.65730166,ANSWERED,domestic,n
1fa9930e-6bff-4ff5-b472-49b794a336e2,3864774659,7654837485,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.15566134,ANSWERED,international,n
5e997bff-d6d3-45a9-b04c-5b06faf20d9b,1328129879,5467161678,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.18110365,ANSWERED,international,n
c94c4ef7-128c-4d16-82db-bb70a05c4948,1190111696,4794533137,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.4371317,ANSWERED,domestic,n
d114b7d6-2e32-4c75-be78-861be71cfedf,3527771817,2373124924,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.22446603,ANSWERED,domestic,n
005fb122-d679-4e7a-889e-fa4f8cb69e3e,1148935337,2867606420,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.9833907,ANSWERED,international,n
7b549f79-7bef-4a85-9788-c18a7d24b925,3701263930,8504596517,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.5474914,ANSWERED,international,y
55060046-e6ef-483a-b2c6-ad64a5bff38d,8296649958,844472010,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.39084607,ANSWERED,international,n
d070d101-f383-43e3-ac70-e42ecb176235,1874571022,9163944393,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.09043157,ANSWERED,domestic,n
6250d2ba-fbfa-4d1c-a26c-280241e1ee84,7790387215,2135458592,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.19077021,BUSY,domestic,n
9e218069-e23c-4f46-ac35-43e71ca89b7d,8131001734,5974776265,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.659364,ANSWERED,domestic,n
cf82549d-5476-434d-8d0d-a356f9bccda1,2705029378,5522347065,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.21286345,ANSWERED,domestic,n
99e95e69-2e0a-4069-8246-b7c67424fc81,7882431930,222758184,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.5217446,ANSWERED,international,n
9ea09bde-5922-4922-a4a1-ae86658bb660,1097727723,6121256871,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.16095161,ANSWERED,domestic,n
f91a9061-12c7-45c3-8895-a6f7fcc46af6,5184183513,4454589795,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.97468966,ANSWERED,international,n
35ae422d-5e2c-4f56-8778-8a97728bb8cd,6217644664,229896628,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.9980254,ANSWERED,domestic,n
e3f2d9e4-c537-4ed6-8ed9-731098f2c5d4,8170438011,9470571296,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.25719988,ANSWERED,domestic,n
29f16e0e-8d22-4f20-a016-ff32d65d7697,8079051745,7424830931,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.22994667,ANSWERED,domestic,n
725bed67-0293-41c7-bc5a-eff9115108f6,7805589022,4115767947,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.78949857,ANSWERED,domestic,n
66ab2f37-3a2d-4ac9-b09e-2ff93d87c324,8542342283,9938689656,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.6758641,ANSWERED,international,n
2eff3cab-2d05-4e00-b85a-7e7734b01c1a,9169498166,9667558137,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.96220714,ANSWERED,domestic,n
c9c834d3-c3b9-4067-9a4a-d0dcfd1c8e8b,120652859,5631071194,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.25565916,ANSWERED,international,n
e74e8b13-ecec-459d-8485-5720a0c47cf1,5211450746,2384067870,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.11167997,ANSWERED,domestic,n
40ec4028-a161-4e21-838d-5e69e7bbe773,8949380207,9261911419,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.9021796,ANSWERED,domestic,n
b8adcefc-5814-43f1-bc04-c908d68d63d1,5414625476,5165975196,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.9803276,ANSWERED,international,n
d687767b-b7b3-4957-91a7-545e761000ca,2294606030,2245462154,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.4450124,ANSWERED,domestic,n
2a8597fc-9396-4bab-bd46-aeffc48c081b,8051972677,6917108187,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.68250287,ANSWERED,domestic,n
0f794f71-51e2-4c98-b616-df6d7dba8803,5489805800,565848370,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.98249185,ANSWERED,domestic,n
4b170b67-02c1-4b1c-a1aa-f285a3860f3c,2595452748,3993041501,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.6606054,ANSWERED,international,n
88912150-3ff6-44ca-93f2-d8c899a7e013,303485939,9890815601,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.37605137,ANSWERED,domestic,n
e64dbc97-1fb1-4c16-acac-b43a5d48ec16,7789172341,4102230534,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.79634416,ANSWERED,international,n
4abc557e-31a7-4317-b685-577417d83cf0,88412322,9072918240,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.5534686,ANSWERED,domestic,n
4a9ab89e-bf68-4a97-8210-f4a1851d0818,8220136935,8937965555,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.5948102,ANSWERED,international,n
1e1f9f53-58d8-4b90-a234-c2ef2cae2e95,5846025857,328956567,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.675355,ANSWERED,international,n
b00fadbd-159e-4629-9324-36b521b479c3,2810273830,8244034191,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.13796097,ANSWERED,international,n
f442e144-af5d-4f00-bc88-e7ad57c007ea,6842844861,5393807803,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.98409855,BUSY,international,n
49dde45a-dd7e-4568-9432-549fe59cb658,9149565512,3539212588,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.52268726,ANSWERED,international,n
4b10f99d-f4ef-47ac-9544-68d0cab86c3f,3175647915,614282608,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.17451322,ANSWERED,international,n
ce75ed5a-42e9-4fcd-95fa-4ea8fc042729,9149945283,5335202745,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.058726907,ANSWERED,international,n
fca332c0-d0e7-43cd-8918-133de466c19d,3917407842,3976557336,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.92834604,ANSWERED,international,n
862e041a-870c-4bf1-a448-5c6f7e523b28,1048447038,2968838259,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.1721853,ANSWERED,international,n
af43994e-e8d9-4b9f-912c-f6987d16a8b8,5710443053,2196246155,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.5530113,ANSWERED,domestic,n
49912800-d339-4d5e-ba3d-6a78aa4d6043,9625338787,4005681779,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.57960296,ANSWERED,domestic,n
27d3ee44-83c6-4113-b433-d1c244171716,2731118089,5367530118,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.479172,ANSWERED,domestic,n
a7ac693a-2e6d-4a14-8337-adb20bf44918,7169629748,7696231595,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.1521576,ANSWERED,international,n
ba9a2e49-25f7-4db3-981d-cdd43f825371,6462149426,2263154466,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.55426353,ANSWERED,domestic,n
170e230d-a874-423a-af1f-16fce48cc715,2570224262,3802970224,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.30017197,ANSWERED,domestic,n
4f0d7102-ae4e-41a9-aba9-1d51a873a6ac,5385434610,2813059711,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.23320162,ANSWERED,international,n
ac2a9f75-312d-440c-bb71-b802c5b79c9d,9934602193,1663352395,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.31655604,ANSWERED,domestic,n
361cd018-77f6-44e3-9fcb-fe15f4d54d80,8119639213,1819076611,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.477566,ANSWERED,domestic,n
9d2a6be5-9f28-4783-9b9d-0784e1f585fa,9705007414,1256174281,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,VOICE,0.91738105,ANSWERED,domestic,n
7c7c9e72-1533-4c26-9ea3-ddce36799be5,1585478545,3946721179,2016-03-04 00:10:05.681 +05:30,2016-03-04 00:10:05.681 +05:30,SMS,0.55030084,ANSWERED,domestic,n
